,alamat_jalan,batas_barat,batas_selatan,batas_timur,batas_utara,bujur,cagar_budaya_id,desa_kelurahan,kabupaten_kota,kecamatan,kode_pengelolaan,lintang,nama,nomor_penetapan,pemilik,pengelola,propinsi,tanggal_penetapan
967,-,Jl. Sumatera,Rumah penduduk,Rumah penduduk,Rumah penduduk,102.2700000,D6614568-7626-4A1F-9516-52AF068DCEA5,Suka Merindu,Kota Bengkulu,Kec. Sungai Serut,KB001547,-3.7842220,Bunker Sukamerindu 12,PM.91/PW.007/MKP/2011,-,-,Prop. Bengkulu,2011-10-17 00:00:00.000
968,-,Rumah penduduk,Rumah penduduk,Rumah penduduk,Rumah penduduk,102.2696670,A616E572-4A73-400E-8693-4FC5D608002F,Suka Merindu,Kota Bengkulu,Kec. Sungai Serut,KB001548,-3.7837500,Bunker Sukamerindu 13,PM.91/PW.007/MKP/2011,-,-,Prop. Bengkulu,2011-10-17 00:00:00.000
969,-,Rumah penduduk,Rumah penduduk,Rumah penduduk,Jl. Sumatera 1,102.2700560,B193A6F3-1720-45C1-A9D4-317BBAE0E356,Suka Merindu,Kota Bengkulu,Kec. Sungai Serut,KB001544,-3.7835280,Bunker Sukamerindu 6,PM.91/PW.007/MKP/2011,-,-,Prop. Bengkulu,2011-10-17 00:00:00.000
970,-,Rumah penduduk,Rumah penduduk,Jl. Sumatera 1,Rumah penduduk,102.2703610,9234833B-B82D-47F6-B699-796F28098ACB,Suka Merindu,Kota Bengkulu,Kec. Sungai Serut,KB001545,-3.7830560,Bunker Sukamerindu 9,PM.91/PW.007/MKP/2011,-,-,Prop. Bengkulu,2011-10-17 00:00:00.000
971,-,Kebun,Kebun,Kebun,Kebun,102.2406670,9DF94D6E-59CA-4391-BE6B-7FF8D7B847DB,Sungai Suci,Kab. Bengkulu Tengah,Kec. Pondok Kelapa,KB001549,-3.7243330,Bunker Sungai Suci,PM.91/PW.007/MKP/2011,-,-,Prop. Bengkulu,2011-10-17 00:00:00.000
972,-,Bank Mandiri,Jalan dan Kantor Gubernur,Jl. A. Yani,Rumah penduduk,102.2506390,FC425E29-5A0C-43C9-B4A5-58DC42EDCEB3,Malabero,Kota Bengkulu,Kec. Teluk Segara,KB001537,-3.7890560,Kantor Pos,PM.91/PW.007/MKP/2011,-,-,Prop. Bengkulu,2011-10-17 00:00:00.000
973,-,SDN 37 dan rumah penduduk,Rumah penduduk,Jl. Veteran dan Jl. Vand Iskandar Baksir,Jl. Kramat,102.2530560,CBEE98C6-3082-41A7-A25C-2DE73A072684,Jitra,Kota Bengkulu,Kec. Teluk Segara,KB001539,-3.7927780,Kompleks Makam Inggris,PM.91/PW.007/MKP/2011,Pemda,Pemda,Prop. Bengkulu,2011-10-17 00:00:00.000
974,Jalan Sentot Alibasyah,Jl. Lettu Zulkifli,"Perumahan penduduk, perusahaan angkutan Bus San",Perumahan penduduk,Jl. Sentot Alibasyah,102.2634440,52490BE3-4963-44C4-82D7-49ED318883A9,Bajak,Kota Bengkulu,Kec. Teluk Segara,KB000065,-3.7890830,Makam Sentot Alibasyah,KM.10/PW.007/MKP/2004,Pemerintah Daerah Kota Bengkulu,-,Prop. Bengkulu,2004-03-03 00:00:00.000
975,Jalan Letjen Suprapto,"Jl. Jend. Sudirman, pertokoan","Jl. Letjen Suprapto, pertokoan","Jl. Letjen Suprapto, pertokoan","Jl. Jend. Sudirman, perumahan penduduk",102.2623060,50A81DA3-469A-4A42-B0C3-6D2BF38C804B,Pengantungan,Kota Bengkulu,Kec. Gading Cempaka,KB000064,-3.7898610,Masjid Jamik Bengkulu,KM.10/PW.007/MKP/2004,Pemerintah Daerah Kota Bengkulu,-,Prop. Bengkulu,2004-03-03 00:00:00.000
976,Jalan Ratu Agung,Kantor PKPN dan kantor lurah Desa Anggut,Jl. Ratu Agung,Pengadilan Tinggi Bengkulu,Perumahan penduduk,102.2612220,8D2526E6-F1AD-4853-8AED-FF441474FC3A,Anggut Atas,Kota Bengkulu,Kec. Gading Cempaka,KB000063,-3.7992500,Rumah Bekas Kediaman Bung Karno,KM.10/PW.007/MKP/2004,Pemerintah Daerah Kota Bengkulu,-,Prop. Bengkulu,2004-03-03 00:00:00.000
977,-,"Jl. M. Hasan, perumahan penduduk","Jl. Sukarno-Hatta, pemakaman umum","Jl. Letkol Santoso, perumahan penduduk","Jl. Letkol Santoso, perumahan penduduk",102.2640700,EA138F68-A65A-45B7-943E-83EC88B474DE,Anggut,Kota Bengkulu,Kec. Gading Cempaka,KB000061,-3.7971300,Tugu Helmington,KM.10/PW.007/MKP/2004,Pemerintah Daerah Kota Bengkulu,-,Prop. Bengkulu,2004-03-03 00:00:00.000
978,-,Jalan Cengkeh Apo,Jalan Cengkeh Apo,Rumah Penduduk,Rumah Penduduk,127.3861040,D98801EF-7032-49E4-A87B-CE57EFAF3F10,-,Kota Ternate,Kec. Ternate Tengah,KB000655,.7930370,Bak Cagarara,PM.20/PW/007/MKP/2007,Pemerintahan Provinsi Maluku Utara,-,Prop. Maluku Utara,2007-03-26 00:00:00.000
979,-,,,,,127.5563630,52CF4C43-27E0-4F16-AC93-B4E55AC40113,Pasalulu,Kab. Halmahera Barat,Kec. Ibu,KB000648,1.5950760,Balok-balok batu,-,,,Prop. Maluku Utara,
980,-,,,,,127.4096090,666960BF-37FF-4AE6-8BC3-847422F5B428,Gurapin,Kab. Halmahera Selatan,Kec. Kayoa,KB000652,.0106810,Batu Besar Bersejarah,-,,,Prop. Maluku Utara,
981,Jl. Benteng Barneveld,"Jl. Benteng Barneveld, Rumah Penduduk, Laut Maluku","Pondok Pesantren, Rumah Penduduk","Kebun Kelapa, Sungai, Selat Patinti","Makam, Kebun Kelapa, Pulau Kayoa",127.4692060,F81FEA7C-9DEF-4E4B-85BE-04D019FA2C54,Labuha,Kab. Halmahera Selatan,Kec. Bacan,KB000623,.6290000,Benteng Barneveld,PM.12/PW.007/MKP/2010,Pemerintahan Provinsi Maluku Utara,Dinas Kebudayaan dan Pariwisata Maluku Utara,Prop. Maluku Utara,2010-01-08 00:00:00.000
982,-,,,,,127.4255020,A534A7E9-3748-4A17-8685-BD30A96D9A1C,Laluin,Kab. Halmahera Selatan,Kec. Kayoa,KB000651,-.0384290,Benteng Batu,-,,,Prop. Maluku Utara,
983,-,,,,,125.9652200,1BEF5759-CF4E-4A6B-B269-8CD5E88B0CBA,-,Kab. Kepulauan Sula,Kec. Sanana,KB000628,-2.0743840,Benteng De Ver Lacting/Alting,-,,,Prop. Maluku Utara,
984,Jalan Bastiong,Gedung/Bangunan Pengawet Ikan,Selat Ternate,Desa Bastiong,Jalan Raya Bastiong,127.3730620,83090169-8DBF-4F35-BF0F-2D5EF601AFE4,Kayu Merah,Kota Ternate,Kec. Ternate Selatan,KB000613,.7622810,Benteng Kalamata,013/M/1999,Negara,-,Prop. Maluku Utara,1999-01-12 00:00:00.000
985,-,,,,,127.3730620,9814AAE1-F326-4977-BD94-8AF1F0F598E7,-,Kota Ternate,Kec. Ternate Utara,KB000660,.7622810,Benteng Kalumata/Kayu Merah,-,,,Prop. Maluku Utara,
986,-,,,,,127.3730620,CA18EA3C-70D2-474B-984C-5663672E5302,Kayu Merah,Kota Ternate,Kec. Pulau Ternate,KB000631,.7622810,Benteng Kalumata/Kayu Merah,-,,,Prop. Maluku Utara,
987,-,Rumah Penduduk,Rumah Penduduk,Jalan Pantai Kastela dan Rumah Penduduk,Jalan Gam Lamo,127.3122040,C6B66618-2762-40D7-B912-20E156421B72,-,Kota Ternate,Kec. Pulau Ternate,KB000617,.7609230,Benteng Kastela (Nostra Senhora De Rasario) ,PM.20/PW/007/MKP/2007,Pemerintahan Provinsi Maluku Utara,-,Prop. Maluku Utara,2007-03-26 00:00:00.000
988,-,,,,,127.3493190,CB36EBF6-A16E-4F6C-973B-81B7DB969649,Kota Moti,Kab. Halmahera Selatan,Kec. Pulau Makian,KB000625,.3119570,Benteng Kota Moti,-,,,Prop. Maluku Utara,
989,-,,,,,127.4673490,E925A1E8-D86B-4791-91A1-0EDB2BFCC866,Gamlamo,Kab. Halmahera Barat,Kec. Jailolo,KB000653,1.1410860,Benteng Moro,-,,,Prop. Maluku Utara,
990,-,,,,,127.3487490,F6D3894C-95B4-4EBC-AB98-2A1AADB42510,Ngofakiaha,Kab. Halmahera Selatan,Kec. Pulau Makian,KB000626,.3334460,Benteng Mouritius,-,,,Prop. Maluku Utara,
991,-,Jalan Merdeka dan Perkantoran,Permukiman Penduduk,"Jalan Hasan Basori, Rumah Penduduk dan Pasar",Rumah Komandan KODIM dan Jalan Raya,127.3810680,BF1FDE61-72ED-48D4-A703-F7CF1B26B343,Gamalama,Kota Ternate,Kec. Ternate Tengah,KB001650,.7775750,Benteng Orange,PM.20/PW/007/MKP/2007,Pemerintahan Provinsi Maluku Utara,-,Prop. Maluku Utara,2007-03-26 00:00:00.000
992,-,,,,,127.3869260,05F1A65C-C663-40EA-A74B-F5468D6A2151,-,Kota Ternate,Kec. Ternate Utara,KB000661,.8153900,Benteng Santo Pedro E.Paulo,-,,,Prop. Maluku Utara,
993,-,Taman dan Permukiman Penduduk,Jalan Raya Ngade,Taman / Kebun,Tebing,127.3807730,911B00F8-25D3-48DB-A104-8FAD72DBF602,Laguna,Kota Ternate,Kec. Pulau Ternate,KB000632,.8038390,Benteng Santo Pedro E.Paulo,PM.20/PW/007/MKP/2007,Pemerintahan Provinsi Maluku Utara,-,Prop. Maluku Utara,2007-03-26 00:00:00.000
994,-,Rumah Penduduk,Kedaton Sultan Ternate,Rumah Penduduk,Rumah Penduduk dan Gang Sentosa,127.3681360,16484CD3-2DEB-4D1C-94C4-6DF15AFCB465,Soa Sio,Kota Ternate,Kec. Ternate Utara,KB001651,.8331220,Benteng Sentosa (Kota Naka),PM.20/PW/007/MKP/2007,Keluarga Sultan Ternate,-,Prop. Maluku Utara,2007-03-26 00:00:00.000
