,alamat_jalan,batas_barat,batas_selatan,batas_timur,batas_utara,bujur,cagar_budaya_id,desa_kelurahan,kabupaten_kota,kecamatan,kode_pengelolaan,lintang,nama,nomor_penetapan,pemilik,pengelola,propinsi,tanggal_penetapan
0,Jl. Merdeka Barat Nomor 12,-,-,-,-,106.8214540,6E213149-5902-4E29-AF11-B0F765D0D517,Gambir,Kota Jakarta Pusat,Kec. Gambir,KB000943,-6.1765550,Arca Bhairawa,024/M/2014,Negara,Museum Nasional,Prop. D.K.I. Jakarta,2014-01-17 00:00:00.000
1,Jl. Merdeka Barat Nomor 12,-,-,-,-,106.8217740,44AF3736-D7BD-4C05-8619-45E7D66078BC,Gambir,Kota Jakarta Pusat,Kec. Gambir,KB000953,-6.1763100,Arca Prajnyaparamita,251/M/2013,Negara,Museum Nasional,Prop. D.K.I. Jakarta,2013-12-27 00:00:00.000
2,-,,,,,106.8672000,D042B3EB-E051-4039-8B5F-705644E39D12,Bidara Cina,Kota Jakarta Timur,Kec. Jatinegara,KB000125,-6.2187640,Bangunan Pusat Pendidikan dan Latihan Bank Rakyat Indonesia,Kepmen Nomor 011/M/1999,,,Prop. D.K.I. Jakarta,
3,Jl. Imam Bonjol Nomor 1,,,,,106.8310110,3BC709F0-72BD-4860-A45F-B24BCDE17766,Menteng,Kota Jakarta Pusat,Kec. Menteng,KB000955,-6.2004280,Bangunan Utama Gedung Museum Perumusan Naskah Proklamasi,Kepmen Nomor 253/M/2013,,,Prop. D.K.I. Jakarta,
4,Jl. Kramat Raya Nomor 106,,,,,106.8432240,C306B161-DB0F-4697-ADF0-ED9B37E7116F,Kwitang,Kota Jakarta Pusat,Kec. Senen,KB000956,-6.1837130,Bangunan Utama Gedung Museum Sumpah Pemuda,Kepmen Nomor 254/M/2013,,,Prop. D.K.I. Jakarta,
5,Jl. Kramat Raya Nomor 106,-,-,-,-,106.8430690,27221DC9-A654-4AA1-BC38-F0AF51A8617D,Kwitang,Kota Jakarta Pusat,Kec. Senen,KB000949,-6.1838190,Biola WR Supratman,247/M/2013,Negara,Museum Sumpah Pemuda,Prop. D.K.I. Jakarta,2013-12-27 00:00:00.000
6,Jl. Merdeka Barat Nomor 12,-,-,-,-,106.8220860,545F2A54-DEB3-460F-A237-2E4DC35F891C,Gambir,Kota Jakarta Pusat,Kec. Gambir,KB000952,-6.1765870,Bokor Emas Berelief Cerita Ramayana ,250/M/2013,Negara,Museum Nasional,Prop. D.K.I. Jakarta,2013-12-27 00:00:00.000
7,Gadjah Mada Nomor 111,"Perkampungan Jawa, kebon pisang","Pertokoan, perkampungan, dan Gedung Kompas",Jl. Gadjah Mada,"Kampung, Hotel Palembang, gedung cahaya motor",106.8168260,9FAC6B80-406B-4CE1-906B-03E9A0614930,-,Kota Jakarta Barat,Kec. Taman Sari,KB000146,-6.1537470,Gedung Arsip Nasional ,140/M/1998,,,Prop. D.K.I. Jakarta,1998-06-16 00:00:00.000
8,Merdeka Timur No. 14,"Jl. Merdeka Timur, stasiun Gambir",Jl. Batu dan Gedung Departemen Kelautan dan Perikanan,Permukiman penduduk,Gedung Wisma Pertamina,106.8322220,263CCDFD-CEF2-40D5-B393-5CA8662C8AAB,Gambir,Kota Jakarta Pusat,Kec. Gambir,KB000168,-6.1786110,Gedung Balai Seni (Wisma Seni),PM.13/PW.007/MKP/05,Pemda DKI Jakarta,,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
9,Kali Besar Barat No. 1-2,"Jl. Malaka Selatan, permukiman","Jl. Malaka, kantor Telkom",Jl. Kali Besar Barat,Perkantoran,106.8116110,C683A8C0-71D8-432C-A326-F00BC25809A9,Roa Malaka,Kota Jakarta Barat,Kec. Tambora,KB000191,-6.8034440,Gedung Bank Bumi Daya,PM.13/PW.007/MKP/05,Bank Mandiri,,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
10,MH. Thamrin No. 2,,,,,106.8216130,21AC59E0-0366-4BE2-BF40-CC445171FF69,-,Kota Jakarta Pusat,Kec. Tanah Abang,KB000154,-6.1817290,Gedung Bank Indonesia,Kepmen Nomor 237/M/1999,,,Prop. D.K.I. Jakarta,
11,Stasiun Kota No. 2,Jl. Pintu Besar Utara,"Jl. Stasiun Kota, Taman Stasiun Kota",Jl. Lada,Perkantoran,106.8043610,34E73DC9-E925-4AED-9893-565C834A06E8,Pinangsia,Kota Jakarta Barat,Kec. Taman Sari,KB000193,-6.1471390,Gedung Bank Mandiri (eks. Bank Ekspor Impor),PM.13/PW.007/MKP/05,Bank Mandiri,,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
12,Gajah Mada No. 1,Bangunan baru BTN dan perkantoran,Gedung BBI,"Persimpangan Jl. Gajah Mada, Jl. Hayam Wuruk, Jl. Juanda, Jl. Veteran",Perkantoran dan pertokoan Duta Merlin,106.8203040,751EA5AE-BB5B-45E9-BB73-CE8490500F7E,-,Kota Jakarta Pusat,Kec. Gambir,KB000155,-6.1671160,Gedung Bank Tabungan Negara,237/M/1999,Negara,,Prop. D.K.I. Jakarta,1999-10-04 00:00:00.000
13,Cilacap No. 4,Jl. Bandung,Perumahan penduduk,Jl. Semarang,Jl. Cilacap,106.8390370,44EECC9A-35B9-4949-BC2E-3E290E3078BD,-,Kota Jakarta Pusat,Kec. Menteng,KB000157,-6.1973440,Gedung Bekas Kantor Direktorat Jenderal Kebudayaan ,237/M/1999,PT. Bangun Graha Manunggal,,Prop. D.K.I. Jakarta,1999-10-04 00:00:00.000
14,Raya Pejambon No. 2,"Sungai Ciliwung, permukiman penduduk","Sungai Ciliwung, permukiman penduduk",Gedung Pancasila,"Jl. Pejambon, Makostrad",106.8625000,5F420569-D8F4-45F9-9E5E-F055EAF96134,Gambir,Kota Jakarta Pusat,Kec. Senen,KB000165,-6.2008330,Gedung BP 7 (Gedung Garuda),PM.13/PW.007/MKP/05,Negara,,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
15,Gajah Mada No. 188,Petak Mayor,Parit/ Perumahan penduduk,Jl. Gajah Mada,Perumahan penduduk,106.8152350,0B094109-460C-4EFA-830C-983CA215F645,-,Kota Jakarta Barat,Kec. Taman Sari,KB000128,-6.1473610,Gedung Candranaya,0128/M/1988,,,Prop. D.K.I. Jakarta,1988-02-27 00:00:00.000
16,Lapangan Banteng Timur,Jl. Lapangan Banteng Timur,"Jl. Dr. Wahidin, Gedung Perkantoran BUMN",Jl. Dr. Wahidin II,"Eks. Gedung Mahkamah Agung, Jl. Budi Utomo",106.8372220,F3805B8C-0FE8-4C6B-9479-AEE740882C66,Pasar Baru,Kota Jakarta Pusat,Kec. Sawah Besar,KB000177,-6.1691670,Gedung Departemen Keuangan RI,PM.13/PW.007/MKP/05,Departemen Keuangan RI,,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
17,Raya Senen,Jl. Raya Senen,Gedung Atrium,Gedung Atrium,Gedung Atrium,106.8407970,D5DBB39F-E490-487E-8B8E-A92976CB13DE,-,Kota Jakarta Pusat,Kec. Senen,KB000158,-6.1766040,Gedung Eks. Jaya Gas,237/M/1999,Pemda DKI Jakarta,,Prop. D.K.I. Jakarta,1999-10-04 00:00:00.000
18,Medan Merdeka Timur No. 5,Jl. Medan Merdeka Timur,Kwartir Nasional Pramuka,Markas Kostrad dan Sungai Ciliwung,Kantor Gamisun,106.8308330,19F12299-A5DC-4E55-887C-BF4B7A890CC8,Gambir,Kota Jakarta Pusat,Kec. Gambir,KB000171,-6.1750000,Gedung ex Ditjen Perhubungan Laut,PM.13/PW.007/MKP/05,Pemda DKI Jakarta,,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
19,Salemba No. 6,Sungai,Jl. Diponegoro,Jl. Raya Salemba,Fakultas Kedokteran Gigi UI,106.8488540,9C32B923-5B28-45D0-8527-BAB0C610C66B,-,Kota Jakarta Pusat,Kec. Senen,KB000127,-6.1950030,Gedung Fakultas Kedokteran Universitas Indonesia,0128/M/1988,,,Prop. D.K.I. Jakarta,1988-02-27 00:00:00.000
20,Pegangsaan Timur ,Jl. Pegangsaan Timur,Asrama Universitas Indonesia,Jl. Kimia,Permukiman penduduk,106.8419440,801B39D5-DEE4-4BE5-AA7F-37954DB26301,Cikini,Kota Jakarta Pusat,Kec. Menteng,KB000180,-6.1991670,Gedung FK-UI Laboratorium Mikrobiologi,PM.13/PW.007/MKP/05,Universitas Indonesia,,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
21,Kathedral No. 7,,,,,106.8333080,A51BCE5D-0834-4E22-B9D4-DCAD41AAAD29,-,Kota Jakarta Pusat,Kec. Sawah Besar,KB000156,-6.1691580,Gedung Gereja Kathedral,Kepmen Nomor 237/M/1999,,,Prop. D.K.I. Jakarta,
22,Medan Merdeka Utara,Jl. Majapahit,Jl. Medan Merdeka Utara,Jl. Veteran 3,Jl. Veteran,106.8241940,35D96732-22B0-4CD6-8E00-1A8AE217ED52,-,Kota Jakarta Pusat,Kec. Gambir,KB000152,-6.1703690,Gedung Istana Merdeka,237/M/1999,Negara,,Prop. D.K.I. Jakarta,1999-10-04 00:00:00.000
23,Veteran No. 17,Jl. Majapahit,Jl. Medan Merdeka Utara,Jl. Veteran 3,Jl. Veteran,106.8240220,1C740937-F58B-40E4-93ED-8B5BCB61C721,-,Kota Jakarta Pusat,Kec. Gambir,KB000153,-6.1681720,Gedung Istana Negara,237/M/1999,Negara,,Prop. D.K.I. Jakarta,1999-10-04 00:00:00.000
24,Menteng Raya No. 31,Jl. Menteng Raya,Jl. Kali Pasir,Perumahan penduduk,PT. Mercu Buana,106.8367410,D6D23B78-2E52-454A-8189-43092CDC98F8,-,Kota Jakarta Pusat,Kec. Menteng,KB000126,-6.1860850,Gedung Joang 1945,0128/M/1988,,,Prop. D.K.I. Jakarta,1988-02-27 00:00:00.000
25,Pos No. 2,Sekolah Santa Ursula,Kantor pos Jakarta,Gedung kesenian,Jl. Pos,106.8349600,0E8E62BB-B877-4943-A16D-C11D8AD670C1,-,Kota Jakarta Pusat,Kec. Sawah Besar,KB000150,-6.1679050,Gedung Kantor Pos dan Giro Pasar Baru ,237/M/1999,PT. Pos Indonesia,,Prop. D.K.I. Jakarta,1999-10-04 00:00:00.000
26,Jl. Dr. Abdul Rahman Saleh Nomor 26,Gang Prapatan 2,Jalan Abdul Rahman Saleh,Jalan Abdul Rahman Saleh,Rumah Sakit Pusat Angkatan Darat,106.8381200,D90CA941-2F62-42FC-B876-EE881382B951,Senen,Kota Jakarta Pusat,Kec. Senen,KB000954,-6.1783310,Gedung Kebangitan Nasional,0578/U/1983 (252/M/2013),Negara,Museum Kebangkitan Nasional,Prop. D.K.I. Jakarta,2013-12-27 00:00:00.000
27,Abdul Rachman Saleh No. 26,,,,,106.8380980,634F4127-6395-4471-BC35-8CEFD3302E1F,-,Kota Jakarta Pusat,Kec. Gambir,KB000163,-6.1783610,Gedung Kebangkitan Nasional,Kepmen No. 0578/U/1983,,,Prop. D.K.I. Jakarta,
28,Kesenian No. 1,Kantor pos dan giro pasar baru,Kantor pos dan giro pasar baru,Kantor Pos Jakarta,Jl. Kesenian,106.8346330,1ADDE548-F42F-41DA-88D2-9A6F31388ABF,-,Kota Jakarta Pusat,Kec. Sawah Besar,KB000151,-6.1663530,Gedung Kesenian ,237/M/1999,Milik Negara,,Prop. D.K.I. Jakarta,1999-10-04 00:00:00.000
29,Lapangan Banteng Timur,Jl. Lapangan Banteng Timur,Gedung Departemen Keuangan RI,Jl. Dr. Wahidin,Jl. Budi Utomo,106.8366670,F3145704-FF52-4847-B8A7-1B649B3770DA,Pasar Baru,Kota Jakarta Pusat,Kec. Sawah Besar,KB000176,-6.1683330,Gedung Mahkamah Agung (eks),PM.13/PW.007/MKP/05,Pemda DKI Jakarta,,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
30,Kakap No. 1-3-9,Jl. Kakap dan Gudang,Gudang,Gudang,Jl. Pakin dan sungai Opak,106.8091670,9AD531FA-F01E-4CFE-9719-B8C78FE91460,Penjaringan,Kota Jakarta Utara,Kec. Penjaringan,KB000186,-6.1273610,Gedung Palang,PM.13/PW.007/MKP/05,Pemda DKI Jakarta,,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
31,Raya Pejambon No. 2,Gedung BP7,"Kali Ciliwung, permukiman penduduk",Jl. Abdul Rachman Saleh,"Jl. Pejambon, Makostrad",106.8625000,BFF8140A-FAF8-4513-B70C-A7F15ABFE62A,Gambir,Kota Jakarta Pusat,Kec. Senen,KB000164,-6.2655560,Gedung Pancasila,PM.13/PW.007/MKP/05,Negara,,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
32,Medan Merdeka Selatan No. 11,Gedung Telekomunikasi,Gedung Dewan Pers dan Jl. Kebon Sirih,Gedung Lembaga Pertahanan Nasional,Jl. Merdeka Selatan,106.8269440,2FB4F817-D604-4E10-B29F-942ACF955A1A,Gambir,Kota Jakarta Pusat,Kec. Gambir,KB000169,-6.1808330,Gedung Perpustakaan Republik Indonesia,PM.13/PW.007/MKP/05,Pemda DKI Jakarta,,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
33,Moch. Ichwan Ridwan Rais No. 1,Jl. Moch. Ichwan Ridwan Rais,Eks. Hotel Transera,Sungai Ciliwung,Kedubes Vatikan dan POM ABRI,106.8325000,AF3A4172-1DF8-4C6D-A173-6D1FBC9487E9,Gambir,Kota Jakarta Pusat,Kec. Gambir,KB000170,-6.1805560,Gedung Perusahaan Listrik Negara,PM.13/PW.007/MKP/05,Pemerintah,,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
34,-,Rumah penduduk,Rumah penduduk,Jl. Raya Oto Iskandar Dinata,Rumah penduduk,106.8219650,18438EB2-DE50-4D14-AC48-58497C4279B0,Bidara Cina,Kota Jakarta Timur,Kec. Jatinegara,KB001644,-6.3000450,Gedung Pusdiklat BRI Jatinegara,011/M/1999,Bank Rakyat Indonesia,-,Prop. D.K.I. Jakarta,1999-01-12 00:00:00.000
35,Manggarai Utara 1,Jl. Manggarai Utara 3,Jl. Manggarai Utara 1,Jl. Manggarai Utara 1,Permukiman penduduk,106.8558330,9AFD50B6-14DB-4615-A99D-DD7A71385CA4,Manggarai,Kota Jakarta Selatan,Kec. Tebet,KB000183,-6.2130560,Gedung SD Manggarai Utara 1 dan 2,PM.13/PW.007/MKP/05,Pemerintah,,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
36,Budi Utomo No. 7,Gedung BPPK,Jl. Budi Utomo,SMUN 1 Budi Utomo,SMKN 27,106.8376390,E4217572-2113-446D-94E6-5A60D847F009,Pasar Baru,Kota Jakarta Pusat,Kec. Sawah Besar,KB000175,-6.1669720,Gedung SMK Budi Utomo,PM.13/PW.007/MKP/05,Pemda DKI Jakarta,,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
37,Cikini Raya No. 87,"Jl. Cikini Raya, pertokoan",Pertokoan,Rumah sakit Cikini,Pertokoan,106.8391670,F4D71D51-DFCE-493C-87AD-119B598DFA6A,Cikini,Kota Jakarta Pusat,Kec. Menteng,KB000179,-6.1930560,Gedung SMP Negeri 1,PM.13/PW.007/MKP/05,Pemda DKI Jakarta,,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
38,Budi Utomo No. 7,Kantor Statistik DKI,STM/SMK Budi Utomo,Jl. Budi Utomo,Tanah PT. Sri Wijaya,106.8376390,14729938-6F80-4455-985C-9E1D4AF0D54B,Pasar Baru,Kota Jakarta Pusat,Kec. Sawah Besar,KB000174,-6.1669720,Gedung SMU Budi Utomo,PM.13/PW.007/MKP/05,Pemda DKI Jakarta,,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
39,Kramat Raya No. 106,Perumahan Penduduk,Bengkel/Dealer Yamaha,Jalan Kramat Raya,Bekas Laboratorium Kimia Harum Sari,106.8432850,1A961F10-C536-4CCF-A55C-2796AF2B8EB8,-,Kota Jakarta Pusat,Kec. Senen,KB000162,-6.1841610,Gedung Sumpah Pemuda ,0577/U/1983 (254/M/2013),Negara,Museum Sumpah Pemuda,Prop. D.K.I. Jakarta,2013-12-27 00:00:00.000
40,Pejambon,,,,,106.8320630,9E169203-82E1-4D13-A7E2-CBE3F52181B4,-,Kota Jakarta Pusat,Kec. Gambir,KB000142,-6.1766940,Gereja Imanuel,Kepmen Nomor 0128/M/1988,,,Prop. D.K.I. Jakarta,
41,Kemenangan,"Jl. Kemenangan III, permukiman penduduk",Permukiman penduduk,"Permukimanan penduduk, sekolah","Permukimanan penduduk, sekolah",106.8117780,161E6BA2-F5F6-44F8-AED0-08C97D759294,Glodok,Kota Jakarta Barat,Kec. Taman Sari,KB000194,-6.1439440,Gereja Katholik Santa Maria De Fatima,PM.13/PW.007/MKP/05,Gereja Katolik,,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
42,-,Jl. Jatinegara Barat,Kantor Suku Dinas Kesehatan Jakarta Timur,Jl. Urip Sumoharjo,Jl. Matraman Raya,106.8618300,AF452D32-2586-4A37-A62D-EC4F1E8A69A0,Balimester,Kota Jakarta Timur,Kec. Jatinegara,KB000121,-6.2137430,Gereja Koinonia,011/M/1999,Badan Gereja Protestan di Indonesia,-,Prop. D.K.I. Jakarta,1999-01-12 00:00:00.000
43,Kwitang No 28,Rumah Bpk. David,Jl. Kramat Kwitang I A,PT. Nugra Aldeverindo,Jl. Kwitang Raya No. 28,106.8461110,B7874AFC-53C2-4B8C-A1DD-0BE6E6198F39,Kwitang,Kota Jakarta Pusat,Kec. Senen,KB000167,-6.2013890,Gereja Kristen Indonesia ,PM.13/PW.007/MKP/05,Yayasan,,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
44,-,Jalan kampung,Kali tugu,Kali tugu,Jl. Tugu,106.9237410,139093C7-241C-445F-B963-B70BA8EBEFBF,Tugu,Kota Jakarta Utara,Kec. Cilincing,KB000144,-6.1257000,Gereja Tugu,0128/M/1988,,,Prop. D.K.I. Jakarta,1988-02-27 00:00:00.000
45,Harmoni,Perkantoran dan gedung BTN,Jl. Majapahit dan Jl. Suryapranoto,Jl. Ir. Juanda dan Jl. Veteran,Jl. Hayam Wuruk dan Jl. Gajah Mada,106.8211090,EC80EA4A-6E8B-4E18-9CBA-C3A9203EED90,-,Kota Jakarta Pusat,Kec. Gambir,KB000159,-6.1675000,Jembatan Harmoni dan Patung Perunggu Dewa Hermus,237/M/1999,Negara,,Prop. D.K.I. Jakarta,1999-10-04 00:00:00.000
46,Nelayan Barat,Jl. Kalibesar Barat,Jl. Sungai,"Jl. Terminal Kota, Jl. Lada",Jl. Tiang Bendera,106.8105730,E25BD795-C91B-4C3F-B0C2-84A469DFE32D,-,Kota Jakarta Utara,Kec. Pademangan,KB000160,-6.1312320,Jembatan Kota Intan,237/M/1999,Negara,,Prop. D.K.I. Jakarta,1999-10-04 00:00:00.000
47,-,Tanah kosong dan pertokoan,Gedung SD Rawa Bunga,Gedung BHS Bank,Jl. Raya Bekasi Timur,106.8521660,4A6BEE49-1015-4A69-B25C-3711A9842A51,Manggarai,Kota Jakarta Selatan,Kec. Tebet,KB000124,-6.2107490,Kantor Kodim 0505,011/M/1999,Negara,-,Prop. D.K.I. Jakarta,1999-01-12 00:00:00.000
48,Monumen Pancasila Sakti,"Jl. Raya Pondok Gede, komplek Dirgantara III AU",Permukiman penduduk RW 02 (Lubang Buaya),Kali Sunter,"Permukiman penduduk, masjid Arrohman RW 12",106.9133330,3C3CE110-23BE-4C87-B320-82F8086BB2FA,Lubang buaya,Kota Jakarta Timur,Kec. Cipayung,KB000197,-6.2983330,Komplek Monumen Pancasila Sakti,PM.13/PW.007/MKP/05,Pemerintah (Mabes TNI),,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
49,-,Permukiman penduduk,Jl. Raya Jatinegara Kaum,"Permukiman penduduk, kompleks makam Pangeran Djaketra",Kali Sunter,106.9008290,8D6715FC-19F0-44D7-B872-47B19A59D1CF,Jatinegara Kaum,Kota Jakarta Timur,Kec. Pulo Gadung,KB001646,-6.2022930,Kompleks Makam Pangeran Sanghyang,PM.13/PW.007/MKP/05,Pemda DKI Jakarta,,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
50,Jatinegara Kaum No. 49,,,,,106.9113890,2D962FFE-3C15-4F44-A9C8-24D3ABE948CE,Jatinegara Kaum,Kota Jakarta Timur,Kec. Pulo Gadung,KB000200,-6.2125000,Kompleks Makam Sanghyang,PM.13/PW.007/MKP/05,,,Prop. D.K.I. Jakarta,
51,Medan Merdeka,Jl. Merdeka Barat,Jl. Merdeka Selatan,Jl. Merdeka Timur,Jl. Merdeka Utara,106.8272220,351891E5-A987-4118-8E17-DE5B3A4252EA,Gambir,Kota Jakarta Pusat,Kec. Gambir,KB000172,-6.1736110,Lapangan Merdeka dan Monumen Nasional,PM.13/PW.007/MKP/05,Pemda DKI Jakarta,,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
52,Jl. Medan Merdeka Barat No 12,-,-,-,-,102.0490250,350BE95F-E375-465F-A680-93CA3327C167,Gambir,Kota Jakarta Pusat,Kec. Gambir,KB000950,.7948540,Mahkota Siak Sri Indrapura,248/M/2013,Negara,Museum Nasional,Prop. D.K.I. Jakarta,2013-12-27 00:00:00.000
53,Jatinegara Kaum No. 49,"Permukiman penduduk, kompleks makam Sang Hiyang",Jl. Raya Jatinegara Kaum,"Permukiman penduduk, SDN 15 Jakarta Timur",Kali Sunter,106.9113890,5B2F8C64-80AD-4A8C-8F3F-7AB9F534D968,Jatinegara Kaum,Kota Jakarta Timur,Kec. Pulo Gadung,KB000199,-6.2125000,Makam Pangeran Djaketra,PM.13/PW.007/MKP/05,Pemda DKI Jakarta,,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
54,PPM Marunda,KBN/PPL Marunda,Pantai,Depot Pertamina,Depot Pertamina,106.9555000,3F4E7FCD-79A8-44EF-A684-BD50628BBECC,Cilincing,Kota Jakarta Utara,Kec. Cilincing,KB000189,-6.0964440,Makam Tete Jonker,PM.13/PW.007/MKP/05,Pemda DKI Jakarta,,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
55,Taman Wijaya Kusuma No. 1,"Sungai Ciliwung, rel kereta api",Jl. Perwira,"Gereja Kathedral, lapangan banteng",Jl. Ir. H. Juanda,106.8319170,3B3D73F3-8E5E-4A6B-8FD1-E2F937D24DC1,Pasar Baru,Kota Jakarta Pusat,Kec. Sawah Besar,KB000178,-6.1695560,Masjd Istiqlal,PM.13/PW.007/MKP/05,Pemerintah,,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
56,Sisingamangaraja Blok K-Persil No. 2,Jl. Sisingamangaraja,Jl. Raden Patah II,Jl. Raden Patah Raya,Jl. Raden Patah III,106.7991670,58DAFE52-49B7-41C9-899B-B8979CBFAFAF,Selong,Kota Jakarta Selatan,Kec. Kebayoran Baru,KB000185,-6.2347220,Masjid Agung Al-Azhar,PM.13/PW.007/MKP/05,Yayasan pesantren Islam Al-Azhar,,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
57,-,Rumah penduduk,Rumah penduduk,Makam umum,Makam umum,106.9596990,B670DB79-F4CE-4A80-851F-4BC667AEE513,Marunda,Kota Jakarta Utara,Kec. Cilincing,KB000148,-6.0941550,Masjid Al Alam di Pantai Marunda,140/M/1998,Pemda DKI Jakarta,,Prop. D.K.I. Jakarta,1998-06-16 00:00:00.000
58,Raden Saleh Nomor 30,RS PGI Cikini,Jl. Raden Saleh,Jl. raya Raden Saleh,Sungai Ciliwung,106.8427910,433AE766-4062-4527-AA9A-B30508D5387E,-,Kota Jakarta Pusat,Kec. Menteng,KB000147,-6.1911430,Masjid Al Makmur,140/M/1998,Yayasan Al-Makmur,,Prop. D.K.I. Jakarta,1998-06-16 00:00:00.000
59,Jatinegara Kaum No. 49,"Permukiman penduduk, kompleks makam Sanghyang",Jl. Jatinegara Kaum,"Permukiman penduduk, SDN 15 Jakarta Timur",Kali Sunter,106.9197220,E024CFEC-EC93-4519-8C6D-80282C7C95FC,Jatinegara Kaum,Kota Jakarta Timur,Kec. Pulo Gadung,KB000198,-6.2125000,Masjid As-Salafiah,PM.13/PW.007/MKP/05,Pemda DKI Jakarta,Masyarakat,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
60,Jalan Pengukiran II,Jalan P,Jalan U,Jalan U,Perumahan penduduk,106.8070410,E8804516-DF4D-48CC-9B4F-C9F09E873EBA,-,Kota Jakarta Barat,Kec. Tambora,KB000137,-6.1389870,Masjid Jami Al Anshor,0128/M/1988,,,Prop. D.K.I. Jakarta,1988-02-27 00:00:00.000
61,Tubagus Angke Gang Masjid No. 1,Perumahan penduduk,Jalan U,Jalan U,Parit/ perumahan penduduk,106.7958500,6E7F2550-D1FD-4F3D-85B3-1DA6FAB751AC,-,Kota Jakarta Barat,Kec. Tambora,KB000138,-6.1433700,Masjid Jami Al Anwar,0128/M/1988,,,Prop. D.K.I. Jakarta,1988-02-27 00:00:00.000
62,Sawah Lio 14,"Gang Sawah Lio, perumahan penduduk","Jl. Sawah Lio, perumahan penduduk",Perumahan penduduk,Perumahan penduduk,106.8042940,0C33FF3A-3188-4AE1-8D92-85CB267611D8,-,Kota Jakarta Barat,Kec. Tambora,KB000135,-6.1457470,Masjid Jami Al Mansyur,0128/M/1988,,,Prop. D.K.I. Jakarta,1988-02-27 00:00:00.000
63,Pekojan No. 72,PT. Gani Jaya/ Jl. Pekojan,Jl. Pekojan,"Sekolah Jami Pekojan, perumahan penduduk",Perumahan penduduk,106.8028160,7E2FE212-0EC5-48CC-8DDA-582A851E0C49,-,Kota Jakarta Barat,Kec. Tambora,KB000136,-6.1366330,Masjid Jami Annawir,0128/M/1988,,,Prop. D.K.I. Jakarta,1988-02-27 00:00:00.000
64,Belandongan,SD Islam Tambora,Perumahan penduduk,"Jl. Belandongan, kali Krukut","Jl. Kecil, perumahan penduduk",106.8105500,7EF0C211-B55F-4126-BDCA-00878E8C31E8,-,Kota Jakarta Barat,Kec. Taman Sari,KB000140,-6.1456100,Masjid Jami Tambora,0128/M/1988,-,-,Prop. D.K.I. Jakarta,1988-02-27 00:00:00.000
65,Lodan,Perkampungan,Jl. Raya Lodan,Gudang Konveksi,Jalan perkampungan penduduk,106.8202220,CE27DA44-43D0-41C3-88BD-8F5BCFFCB51C,Ancol,Kota Jakarta Utara,Kec. Pademangan,KB000188,-6.1315830,Masjid Kampung Bandan,PM.13/PW.007/MKP/05,Yayasan masjid,,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
66,Bandengan Selatan,Jl. Muara Pekojan. Permukiman,Permukiman,Permukiman,Jl. Bandengan Selatan,106.7998500,34927181-4BCA-4C1F-AB04-B670EC64BBEF,Pekojan,Kota Jakarta Barat,Kec. Tambora,KB000192,-6.1365400,Masjid Kuno Bandengan ,PM.13/PW.007/MKP/05,Pemda DKI Jakarta,,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
67,-,"Jl. Raya Luar Batang, perumahan penduduk","Jl. Raya Luar Batang, perumahan penduduk","Jl. Raya Luar Batang, perumahan penduduk",Jl. Raya Luar Batang,106.8064620,6C151910-3510-4CDE-AB47-0ADDA45A3A14,-,Kota Jakarta Utara,Kec. Penjaringan,KB000141,-6.1238040,Masjid Luar Batang ,0128/M/1988,,,Prop. D.K.I. Jakarta,1988-02-27 00:00:00.000
