,alamat_jalan,bangunan,bujur,desa_kelurahan,kabupaten_kota,kecamatan,kode_pengelolaan,koleksi,lintang,luas_tanah,museum_id,nama,pengelola,propinsi,sdm,standar,status_kepemilikan,sumber_dana,tahun_berdiri,tipe
144,"Jl. A. Yani,  Procot",-,109.1388080,-,Kab. Tegal,Slawi,MS000200,0,-6.9673110,0,8AFEF675-98F2-476A-A34F-957D52F28027,Museum Sekolah ,"DEPDIKBUD (smp. th. 2002), MENBUDPAR (smp th.2005), 1999/2000 dibawah PEMDA",Prop. Jawa Tengah,0,-,-,-,0,Khusus
145,"kawasan gunung Slumprit, Patiayam Desa Terban",-,110.9384670,-,Kab. Kudus,Jekulo,MS000198,0,-6.7939590,0,AE67AB9F-93BB-4015-8837-E62154978695,Museum Situs Patiayam,-,Prop. Jawa Tengah,0,-,-,-,0,-
146,Jl. Gentasari,-,109.2117200,-,Kab. Cilacap,Kroya,MS000222,0,-7.6006090,0,DFDEEB39-18DC-497F-A6C7-1CC62B00E0D6,Museum Soesilo Soedarman,YAYASAN/SWASTA,Prop. Jawa Tengah,0,C,-,-,0,Khusus
147,Jl. Ade Irma Suryani C.7,-,110.2196960,-,Kota Magelang,Magelang Utara,MS000194,0,-7.4663010,0,F60936B1-199D-40E6-9054-585E22F45366,Museum Sudirman ,Disporabudpar Kota Magelang,Prop. Jawa Tengah,0,C,-,-,0,Khusus
148,Jl. Jend. Gatot Subroto,-,110.2090390,-,Kota Magelang,Magelang Tengah,MS000202,0,-7.5008410,0,1B7E0D95-3E08-4680-A9B2-36ACF29C6223,Museum Taruna Abdul Djalil,ABRI/Gubernur AKMIL,Prop. Jawa Tengah,0,-,-,-,0,Khusus
149,Jl. Mayjen Sutoyo No.10,Lama,110.0070060,-,Kab. Purworejo,Purworejo,MS000195,125,-7.7141740,0,3D601227-B600-4DC2-B5DE-75058E60F276,Museum Tosan Aji ,ABRI,Prop. Jawa Tengah,0,-,-,-,1987,Khusus
150,Jl. Raya Buper Kutasari,-,109.2940980,-,Kab. Purbalingga,Kutasari,MS000230,0,-7.3197070,0,F22CBFD0-C0D2-489A-97C6-810DB3853FA8,Museum Uang Purbalingga,-,Prop. Jawa Tengah,0,C,-,-,0,-
151,Jl. Raya Buper Kutasari,-,109.2927490,-,Kab. Purbalingga,Kutasari,MS000231,0,-7.3174610,0,E36627C3-17E8-453F-82AF-D9C652A27622,Museum wayang dan artefak,-,Prop. Jawa Tengah,0,C,-,-,0,-
152,-,-,110.2203970,-,Kota Magelang,Magelang Utara,MS000220,0,-7.6131120,0,4730F44E-A6F0-40DC-AF81-8B75621D2BFD,Museum Wayang H. Budiardjo,SWASTA,Prop. Jawa Tengah,0,-,-,-,0,Khusus
153,Jl. Gatot Subroto No.1,-,109.2960010,-,Kab. Banyumas,Banyumas,MS000197,0,-7.5137910,0,4228686B-8366-49E8-9534-24BAD11D1DB0,Museum Wayang Sendang Mas Banyumas,PEMKOT,Prop. Jawa Tengah,0,-,-,-,0,Khusus
154,Jalan Jenggolo No.14,-,110.2192610,-,Kota Magelang,Magelang Tengah,MS000203,2000,-7.4813900,0,9C2A03B5-D428-4851-AD94-08A5BA9B44C9,OHD Museum/ Art Gallery,-,Prop. Jawa Tengah,0,-,-,-,0,-
155,Desa Krikilan,-,110.8338740,-,Kab. Sragen,Kalijambe,MS000215,0,-7.4557270,16675,46F592A8-7CE4-4B9B-81CA-5B8505947E03,Prehistory Museum (Museum Sangiran) ,BPSMP Sangiran,Prop. Jawa Tengah,0,A,-,-,1980,Khusus
156,"Jl. Trikora No. 6, Pendowoharjo",-,110.3621180,-,Kota Yogyakarta,Gondomanan,MS000238,43263,-7.8014460,0,BA60FA16-F91D-4B45-B49F-DEB934F91881,Museum  PROVINSI  D.I. Yogyakarta  ”Sonobudoyo”,"DEPDIKBUD (smp. th. 2002), MENBUDPAR (smp th.2005), 1999/2000 dibawah PEMDA",Prop. D.I. Yogyakarta,0,B,-,-,1935,Umum
157,"Jl, Cik Di Tiro  No. 5",-,110.3741400,-,Kota Yogyakarta,Gondokusuman,MS000259,900,-7.7801410,0,09528BE1-8596-4CB5-800C-E63FD2480AA2,Museum  RS.  Mata  “DR. YAP”,SWASTA,Prop. D.I. Yogyakarta,0,C,-,-,1997,Khusus
