,alamat_jalan,bangunan,bujur,desa_kelurahan,kabupaten_kota,kecamatan,kode_pengelolaan,koleksi,lintang,luas_tanah,museum_id,nama,pengelola,propinsi,sdm,standar,status_kepemilikan,sumber_dana,tahun_berdiri,tipe
212,Jl. A. Yani  No. 78,-,114.3680930,-,Kab. Banyuwangi,Banyuwangi,MS000303,500,-8.2211340,0,86CD5491-350C-479E-9902-9840BB4A2AF9,Museum Blambangan ,PEMKAB,Prop. Jawa Timur,0,-,-,-,1977,Umum
213,Jl. Ijen  No. 25 A,-,112.6211120,-,Kota Malang,Klojen,MS000288,0,-7.9721010,0,DE9924FE-F4A4-45F9-A156-B69B5D59AF0D,Museum Brawijaya Malang ,ABRI,Prop. Jawa Timur,0,B,-,-,1968,Khusus
214,"Jalan Soekarno Hatta No.39 A, Bangkalan 6911",-,112.7354470,-,Kab. Bangkalan,Bangkalan,MS000305,0,-7.0482880,0,7C7CF00F-2A14-4AE7-AE8C-6D5531EDF121,Museum Cakraningrat,Swasta,Prop. Jawa Timur,0,B,-,-,2008,Khusus
215,"kawasan Museum Angkut, yakni di Jl. Terusan Sultan Agung No. 2",-,112.5191780,-,Kota Batu,Batu,MS000323,0,-7.8786760,0,112C6281-A1BF-427A-BE7B-744FF3F40D0F,Museum d’Topeng,Swasta,Prop. Jawa Timur,0,A,-,-,0,Khusus
216,"Jl. Kartini No. 3, Kompleks Pendopo Krida Manunggal",-,112.0642470,-,Kab. Tuban,Tuban,MS000283,0,-6.8960610,0,625ACFCD-162E-4F38-B806-FAA973322D22,Museum Daerah Kambang Putih,Dinas Pendidikan Pemuda dan Olahraga Kabupaten Tuban,Prop. Jawa Timur,0,-,-,-,0,Umum
217,Jl. Raya 44 Maospati,-,111.4330690,-,Kab. Magetan,Maospati,MS000306,0,-7.6116070,0,2D7EDB02-2711-41E4-958C-B4120DA21480,Museum Dapoer Roekijah Djawa,-,Prop. Jawa Timur,0,-,-,-,0,-
218,-,-,110.4156470,-,Kab. Malang,Pakis,MS000314,0,-7.7899340,0,E48F26C1-38F8-4E87-8EC2-C5BA0A10B099,Museum Dirgantara A. Sulaksono,-,Prop. Jawa Timur,0,-,-,-,0,-
219,rumah pribadi Suciwati Munir di Kota Batu,-,112.5283810,-,Kota Batu,Batu,MS000313,0,-7.8458220,0,5D3453F7-A4EF-422C-9C12-719AB7EC475C,Museum HAM Omah Munir,Swasta,Prop. Jawa Timur,0,-,-,-,0,Khusus
220,"Taman Sampoerna  6,  RT. 008  RW. 002",-,112.7343070,-,Kota Surabaya,Pabean Cantian,MS000301,0,-7.2306160,0,04A4DA43-8739-4F20-B524-F8ADE870B451,Museum House Of Sampoerna,SWASTA,Prop. Jawa Timur,0,A,-,-,0,Khusus
221,Jalan Sultan Agung No. 69,-,112.1763070,-,Kota Blitar,Sananwetan,MS000320,0,-8.0981130,0,D26ED476-0C77-4F80-BADA-DAC80A84CB67,Museum Istana Gabang ,Swasta,Prop. Jawa Timur,0,-,-,-,0,Khusus
222,Jl. Dr. Sutomo No. 6,Lama,113.8624900,-,Kab. Sumenep,Kota Sumenep,MS000286,0,-7.0089610,0,6729B72E-435D-4D19-BE4E-020857160F37,Museum Keraton Sumenep,PEMDA,Prop. Jawa Timur,0,B,Hak Pakai/sewa,-,1965,Umum
223,Jl. Dr. Moestopo,-,112.7578380,-,Kota Surabaya,Tambaksari,MS000316,0,-7.2719110,0,6547C45B-7129-4F37-AAFD-052E83B77CEA,Museum Kesehatan (Pendidikan Dokter) FK. Universitas Airlangga ,Universitas Airlangga,Prop. Jawa Timur,0,-,-,-,2013,-
224,Jl. Indrapura  17,-,112.7313830,-,Kota Surabaya,Krembangan,MS000295,0,-7.2403570,0,E4669003-C790-4A2F-85C2-FF51B5D49E18,Museum Kesehatan dr. Adhyatma MPH,Kementerian Kesehatan,Prop. Jawa Timur,0,B,-,-,2004,Khusus
225,Jl. Ahmad Yani,-,112.7161160,-,Kab. Malang,Lawang,MS000324,0,-7.8252100,0,D56DE04D-5CF9-483C-9B25-71F096F77EAB,Museum Kesehatan Jiwa Lawang,Kementerian Kesehatan,Prop. Jawa Timur,0,C,-,-,2009,Khusus
226,"Dsn Krajan Kulon, Ds Mantren",-,111.0092660,-,Kab. Pacitan,Punung,MS000297,0,-8.1118480,0,BE65C100-24CD-4F70-AC16-7533E87DDFA9,Museum Ki Ageng Bonokeling,PEMKAB,Prop. Jawa Timur,0,-,-,-,0,Khusus
227,Jalan Gajah Mada 2 ,-,112.6349160,-,Kota Malang,Klojen,MS000309,0,-7.9789350,0,1E040D9A-AC48-4128-BB61-CD6B8E1002D9,Museum Malang Tempoe Doeloe,Swasta,Prop. Jawa Timur,0,A,-,-,0,Khusus
228,Jl. Cokroaminoto No. 1,-,113.4820410,-,Kab. Pamekasan,Pamekasan,MS000307,0,-7.1551450,0,BD7B9A00-E302-46FC-A0CE-097692BF8A88,Museum Mandilaras Pamekasan  ,Pemkab. Pamekasan  ,Prop. Jawa Timur,0,B,-,-,2010,Umum
229,Jl. Gayungsari Timur No. 35,baru,112.7238090,-,Kota Surabaya,Gayungan,MS000317,0,-7.3382260,0,4903560B-BD2A-404F-B654-4D3E64DEA5A6,Museum Nahdatul Ulama,-,Prop. Jawa Timur,0,-,-,-,2004,-
230,"Jl. Raya Buduran - Jembatan  Layang, Sidoardjo",-,112.7202620,-,Kab. Sidoarjo,Sidoarjo,MS000282,15000,-7.4335270,0,0847FB33-640D-4A59-9DD3-A07AD6E6D319,Museum Negeri PROVINSI Jawa Timur “Mpu Tantular“,"DEPDIKBUD (smp. th. 2002), MENBUDPAR (smp th.2005), 1999/2000 dibawah PEMDA",Prop. Jawa Timur,0,A,-,-,1974,Umum
231,Jalan Raya Nglegok,-,112.2172250,-,Kab. Blitar,Nglegok,MS000319,0,-8.0370420,0,55846523-3B9E-4804-9258-2C78329D836E,Museum P4,"diresmikan Bupati Blitar Siswanto Adi, 11 Juli 1990",Prop. Jawa Timur,0,-,-,-,0,-
232,Jalan Penataran No 1,-,112.1434150,-,Kab. Blitar,Nglegok,MS000299,0,-7.9814410,0,2A509237-A909-4C6D-9F0A-E4B6B908392F,Museum Penataran,PEMKAB,Prop. Jawa Timur,0,-,-,-,1997,Khusus
233,Jl. Suroyo No. 17 Kota Probolinggo,Baru,113.2157550,-,Kota Probolinggo,Kanigaran,MS000315,365,-7.7510890,0,2D2B2538-84A7-4007-9E59-05C594B75540,Museum Probolinggo,Pemda,Prop. Jawa Timur,0,-,-,-,2011,-
234,Dusun Unggahan,-,112.3807700,-,Kab. Mojokerto,Trowulan,MS000287,0,-7.5600810,0,8D00F9AF-26B4-49C8-972D-72DA7D40A749,Museum Pusat Informasi Majapahit,BP 3 PUSAT,Prop. Jawa Timur,0,B,-,-,2007,Khusus
235,Jl. Patimura  11,-,111.8724850,-,Kab. Bojonegoro,Ngraho,MS000296,0,-7.1622330,0,DAADF655-AC07-4CCC-9C72-175F6F0F550A,Museum Rajek Wesi  (Pagor),PEMKAB,Prop. Jawa Timur,0,-,-,-,0,Khusus
236,Jl. Mangga No. 21,lama,112.7537690,-,Kota Surabaya,Tambaksari,MS000318,0,-7.2506430,0,876ACBA4-1562-47BB-B952-0D5314AA215D,Museum Rumah Wafat WR. Supratman,Pemda,Prop. Jawa Timur,0,-,-,-,0,-
237,Jl. Raya Oro-oro Ombo No. 9 Kota Wisata Batu,-,112.5298950,-,Kota Batu,Batu,MS000311,0,-7.8886300,0,7009F239-F942-4372-B6A1-A3E8BFDE9704,Museum Satwa Jawa Timur Park 2,Swasta,Prop. Jawa Timur,0,A,-,-,0,Khusus
238,Pabrik Semen Gresik Jl Veteran,-,112.6491410,-,Kab. Gresik,Kebomas,MS000322,0,-7.1756520,0,D056CBB5-A1CB-4D4F-BD03-27082E2B3CDD,Museum Semen Indonesia,Swasta,Prop. Jawa Timur,0,-,-,-,0,Khusus
239,Desa Drajat,-,112.4156270,-,Kab. Lamongan,Paciran,MS000289,0,-7.1224030,0,AB79FA86-B95C-4A56-9D83-A2AC993B6E2D,Museum Sunan Drajat,PEMKAB,Prop. Jawa Timur,0,-,-,-,0,Khusus
240,Jl. Pahlawan  No. 24-26,-,112.6546700,-,Kab. Gresik,Gresik,MS000302,0,-7.1602120,0,9913ABF3-E572-47FA-89F5-2AFD77794D27,Museum Sunan Giri,Pemkab,Prop. Jawa Timur,0,-,-,-,0,Khusus
241,Komp. Akademi AL,-,112.7189760,-,Kota Surabaya,Krembangan,MS000293,0,-7.2272280,0,376E67FF-9004-45C8-A6E1-F1CF2C9FEA4D,Museum TNI-AL “Loka Jala Crana”,ABRI,Prop. Jawa Timur,0,B,-,-,0,Khusus
242,Ds.  Kawu,-,111.3577600,-,Kab. Ngawi,Kedunggalar,MS000290,0,-7.3743520,0,AB2DD6B6-B4A1-4813-BD68-AAD43F9D350C,Museum Trinil,PEMKAB,Prop. Jawa Timur,0,-,-,-,0,Khusus
243,Jl. Raya Karangwidoro No. 7,-,112.5966830,-,Kota Malang,Sukun,MS000325,0,-7.9592820,0,376774CE-C4FC-4745-BD45-04E69DA885DB,Museum Zoologi Frater Vianney,Swasta,Prop. Jawa Timur,0,C,-,-,0,Khusus
244,"Sobo, Pakis Baru",-,111.1725450,-,Kab. Pacitan,Nawangan,MS000304,0,-7.9731450,0,6AD60220-DA97-4C7D-8F51-C1D091B71F9E,Rumah  Bersejarah  Markas  Gerilya Panglima Besar Jenderal Sudirman (Persiapan Museum) ,ABRI,Prop. Jawa Timur,0,-,-,-,0,Khusus
245,Jl. Jenderal Sudirman No. 20,Lama,95.3038470,-,Kab. Aceh Utara,Matangkuli,MS000132,,5.5293350,3000,5F83D6F4-6193-43C4-A421-E6E6FD3C3AF5,Museum Ali Hasyimy (RUMOH CUT MEUTIA),Yayasan Pendidikan Ali Hasyimy,Aceh,,B,Yayasan,YAYASAN PENDIDIKAN ALI HASYIMY,1991,Khusus
246,Jl. Buntul-buntul,Baru,96.8482850,-,Kab. Aceh Tengah,Bebesen,MS000074,,4.6195880,,A482A351-18ED-4E2D-AE8D-8850BBB40DCB,Museum Gayo Gajah Putih ,PEMERINTAH DAERAH,Aceh,,-,,PEMERINTAH DAERAH,2005,Umum
247,Jl. Sultan Muhammadsyah B Aceh,,95.3206880,-,Kab. Aceh Besar,Lhoknga,MS000033,,5.5470620,,BB402E88-30C0-4024-8157-41A48FF557D3,Museum Juang ’45,Rindam Iskandar Muda,Aceh,,-,,,,
248,Jl. Mayjen Tengku Islamiah,,97.1794800,-,Kab. Aceh Utara,Samudera,MS000114,1620,5.1164500,,FA39FD62-EBB1-4252-8DE6-CBFD7798B8E8,Museum Malikussaleh,Yayasan,Aceh,,-,,YAYASAN MALUSSALEH,,
249,Jl. Teuku Cik Ditiro,,95.9546850,-,Kab. Pidie,Kota Sigli,MS000107,,5.3797390,,5A553F22-D139-4F8D-A2A4-C356DE2B9C6E,Museum Nangguor Pidie,,Aceh,,-,,,,
250,Jl. Sultan Alaidin Mahmudsyah No.12,Baru,95.3208750,-,Kota Banda Aceh,Baiturrahman,MS000108,5328,5.5489350,,BE5760B0-59C3-4A7F-98CE-C567695D3A36,Museum Negeri PROVINSI Nanggroe Aceh Darussalam,PEMERINTAH DAERAH,Aceh,,B,,PEMERINTAH DAERAH,1980,Umum
251,"Jl. Kelurahan Penniti, Baiturahim district",,95.3196270,Penniti,Kota Banda Aceh,Baiturrahman,MS000144,,5.5459450,,99F16C79-1BEA-4344-B9D6-FA37BE614F19,Museum Perjuangan Sultan Iskandar Muda ,,Aceh,,-,,,,
252,"Jl. Raya Babussalam, Kutacane",,97.8074950,-,Kab. Aceh Tenggara,Babussalam,MS000024,,3.4918880,,2B405052-503E-4DA3-B669-3720803354A8,Museum Sepakat Segenap,,Aceh,,-,,,,
253,Jl. Sultan Iskandar Muda no. 3,Baru,95.3152260,-,Kota Banda Aceh,Baiturrahman,MS000020,,5.5477190,9900,B4174D69-4CDD-4823-875A-3141ADFAC78D,Museum Tsunami,Dinas Kebudayaan dan Pariwisata Provinsi,Aceh,,B,Pemerintah Provinsi,PEMERINTAH DAERAH,2011,Khusus
254,Jl. M. Zainul Arifin No.8,Lama,98.6699620,-,Kota Medan,Medan Petisah,MS000133,,3.5825340,,12222853-763C-40CD-8179-E7111D83BFF5,"Museum  Perjuangan TNI  Kodam I,  Bukit Barisan ",TNI,Sumatera Utara,,B,,TNI,1996,Khusus
255,Jl.  Jend. Sudirman  No. 20,Baru,99.0612070,-,Kota Pematang Siantar,Siantar Barat,MS000005,972,2.9545940,,799D2B55-AF8E-4E25-A55B-0C74B6AF03E7,Museum  Simalungun,Yayasan Museum Simalungun,Sumatera Utara,,B,,YAYASAN MUSEUM SIMALUNGUN,1940,Umum
256,"Jl. Pintu Bosi, Laguboti",,98.9943780,-,Kab. Toba Samosir,Lagu Boti,MS000073,,2.2389580,,476A6162-E654-4169-BAA6-884FFCB4307D,Museum Balai Budaya Batak Arjuna,SWASTA,Sumatera Utara,,-,,SWASTA,,Umum
257,"Jl. Amir Hamzah  No. 1, Tanjung Pura ",Lama,98.4305660,-,Kab. Langkat,Tanjung Pura,MS000041,,3.7302260,1500,96FDD2B3-A9A5-43C0-8BC3-4F950C1CD689,Museum Daerah Kabupaten Langkat ,PEMERINTAH KABUPATEN,Sumatera Utara,,-,,PEMERINTAH DAERAH,2003,Umum
258,Jl. Jamin Ginting Km. 45,Baru,98.5658810,-,Kab. Deli Serdang,Sibolangit,MS000137,143,3.2906720,,99AB93DA-F4E0-4E87-8358-EBCF853AEE00,Museum Gereja Batak Karo Protestan (GBKP),Swasta,Sumatera Utara,,B,,SWASTA,2007,Khusus
259,Desa Simanindo,Lama,98.7444960,-,Kab. Samosir,Simanindo,MS000015,,2.7522330,,232A8D74-980B-4FA4-B16D-226FD06BF475,Museum Huta Bolon Simanindo ,SWASTA,Sumatera Utara,,-,,SWASTA,1969,Khusus
260,Jl. Pemuda No. 17,Lama,98.6822950,-,Kota Medan,Medan Baru,MS000026,,3.5818830,,1624A1DC-A550-43EA-94D1-376E08444D02,Museum Juang 45 Sumatera Utara  ,,Sumatera Utara,,-,,,,
261,Kompleks Perkantoran Pemda Deli Serdang,Baru,98.8681680,-,Kab. Deli Serdang,Lubuk Pakam,MS000010,,3.5491930,,839F4526-32CF-4E08-8AB2-195DAAAF1D20,Museum Kabupaten Deli Serdang,PEMERINTAH KABUPATEN,Sumatera Utara,,-,,PEMERINTAH DAERAH,2003,Umum
262,Jl. Kotacane No. 180 Kabanjahe,Baru,98.4752740,-,Kab. Asahan,Simpang Empat,MS000004,206,3.1179310,,9F427C21-BCAE-4D74-9493-07420E3587D0,Museum Karo Lingga,Yayasan Museum Karo Lingga,Sumatera Utara,,-,,YAYASAN MUSEUM KARO LINGGA,1989,Khusus
263,"Jl. H.M. Joni No.51, Pasar merah",Baru,98.6963290,-,Kota Medan,Medan Kota,MS000135,7036,3.5681560,10458,6FFAD6E4-A31F-456B-BAEB-E948C3934AED,Museum Negeri PROVINSI Sumatera Utara,PEMERINTAH DAERAH,Sumatera Utara,,A,,PEMERINTAH DAERAH,1982,Umum
264,Desa Lima Laras,Lama,99.6035140,Lima Laras,Kab. Batubara,Tanjung Tiram,MS000117,,3.2026710,,EDA852C2-D1AA-41DD-B936-CF0AA231AD88,Museum Niat Lima Laras,PEMERINTAH KABUPATEN,Sumatera Utara,,-,,PEMERINTAH DAERAH,,Umum
265,Jl. Yos Sudarso  No. 134-A,Baru,97.6093070,-,Kota Gunung Sitoli,Gunung Sitoli,MS000097,5323,1.2943590,,E4DBFCB6-4FE7-4956-A042-AFEB974F72E7,Museum Pusaka Nias,Yayasan Pusaka Nias ,Sumatera Utara,,-,,Yayasan Pusaka Nias ,1992,Umum
266,Ganda Sumurung Pegagan Hilir III,,98.3661020,-,Kab. Dairi,Sumbul,MS000018,,2.8414840,,C22A03A4-C3CA-44FA-89FE-295B579E44F0,Museum Sumbul ,Dinas Kebudayaan dan Pariwisata Kab/Kota,Sumatera Utara,,-,,,,
267,Jl. DR.TB Silalahi,Baru,99.0485000,Pagar Baru,Kab. Toba Samosir,Balige,MS000021,,2.3337150,400,B715C8E7-3B31-43EA-B95D-33626DCC2F97,Museum TB.  Silalahi  Center,Yayasan T.B Silalahi,Sumatera Utara,,A,,YAYASAN T.B SILALAHI,2006,Umum
268,Jl. Balai Kota Tebing Tinggi,Baru,99.1658040,-,Kota Tebing Tinggi,Tebing Tinggi Kota,MS000146,,3.3275050,,0B8309FF-CEA4-4879-90EF-FC555471C1B7,Museum Tebing Tinggi,Dinas Kebudayaan dan Pariwisata Kab/Kota,Sumatera Utara,,-,,PEMERINTAH DAERAH,2014,Umum
269,Jl. Kapten Sitorus No. 10,,99.0592880,-,Kota Pematang Siantar,Siantar Barat,MS000068,,2.9524370,,95088F2F-4515-47BD-BE0E-813DB0B967D6,Museum Zoologi (Taman Hewan Pematang Siantar),Swasta,Sumatera Utara,,-,,,,
270,Jl.  Pematang Purba,Lama,98.7338470,-,Kab. Simalungun,Purba,MS000086,8,2.8731860,50000,B3FA9AA7-417B-49DB-BCFB-99CBF46670DC,Open Air Museum Rumah Bolon Purba ,Yayasan Museum Simalungun,Sumatera Utara,,B,,YAYASAN MUSEUM SIMALUNGUN,1966,Umum
271,Jl. Letjen S.Parman No. 309,Baru,98.6675490,-,Kota Medan,Medan Barat,MS000028,2000,3.5791820,2970,DE51A585-C474-4DB2-9015-3C83EA4A91AB,Rahmat International Wildlife Museum & Gallery ,SWASTA,Sumatera Utara,,A,,SWASTA,1999,Khusus
272,"Jl. Muhammad Yazid,Tangsi Bau",Lama,100.7604070,-,Kota Sawah Lunto,Lembah Segar,MS000084,,-.6975500,,23BFE6A2-44B2-4472-A9F5-95CD4C12A733,Lubang Tambang Mbah Soero dan Info Box Galeri Tambang Batubara,PEMERINTAH KOTA,Sumatera Barat,,B,,PEMERINTAH DAERAH,2008,Khusus
273,Jl. Samudra No.8,Lama,100.3518220,-,Kota Padang,Padang Barat,MS000096,,-.9444040,4790,D9AD22F7-250F-4CF9-8CA1-A809AB081107,Museum dan Perpustakaan Gedung Joang 45,SWASTA,Sumatera Barat,,B,,SWASTA,1987,Khusus
274,"Gedung LKAAM lantai 2, Jl. Diponegoro No. 4",Baru,100.3554170,-,Kota Padang,Padang Barat,MS000070,,-.9556140,,53C94D5D-6DDD-4FE8-B6AD-8752B15FC2FD,Museum Gempa 30 September,PEMERINTAH KOTA,Sumatera Barat,,-,,PEMERINTAH DAERAH,2012,Khusus
275,Jl. Abdul Rahman Hakim,Lama,100.7807940,Air Dingin,Kota Sawah Lunto,Lembah Segar,MS000069,,-.6790200,2300,712EECCB-2C95-451A-A8F4-82C6F09C2C43,Museum Goedang Ransoem ,PEMERINTAH KOTA,Sumatera Barat,,B,,PEMERINTAH DAERAH,2005,Umum
276,Nagari Pagaruyung,Lama,100.6212660,-,Kab. Tanah Datar,Tanjung Mas,MS000118,,-.4713910,,DD679B40-A34B-4D68-899C-CFF1433A8D61,Museum Istana Pagaruyung,Dinas Kebudayaan dan Pariwisata Kab/Kota,Sumatera Barat,,-,,PEMERINTAH DAERAH,,Umum
277,"Nagari Sungai Batang, Maninjau",Lama,100.2219410,-,Kab. Agam,Tanjung Raya,MS000091,,-.3328850,150,69E96758-96EC-46C2-AEE6-9C99242523F6,Museum Kelahiran Buya Hamka,swasta,Sumatera Barat,,-,,SWASTA,2001,Khusus
278,"Jl. Kampung Teleng, Pasar, Lembah Segar, Sawahlunto",Lama,100.7770240,-,Kota Sawah Lunto,Lembah Segar,MS000046,106,-.6829520,,5A9A3F4B-31F3-4659-B8DA-5829E119B473,Museum Kereta Api Sawah Lunto,PEMERINTAH KOTA,Sumatera Barat,,B,,PEMERINTAH DAERAH,2005,Khusus
279,"Komplek Benteng Vander Capellen, Batu Sangkar",,100.5828890,-,Kab. Pasaman Barat,Luhak Nan Duo,MS000062,,-.4614990,,6656879C-1B14-43CD-9FD3-7CF1746C6860,Museum Luhak Nan Tuo,Dinas Kebudayaan dan Pariwisata Kab/Kota,Sumatera Barat,,-,,PEMERINTAH DAERAH,,Khusus
280,"Kp. Lubuk Sitepung, Nagari Lunang",Lama,101.1369350,-,Kab. Pesisir Selatan,Lunang,MS000102,213,-2.2691570,20000,69D1BD2A-2A9F-43E0-8E28-B3D1604E2AFD,Museum Mande Rubiah,PEMERINTAH KABUPATEN,Sumatera Barat,,-,,PEMERINTAH DAERAH,1980,Khusus
281,"Jl. Diponegoro No.10  (Lapangan Tugu), Belakang Tangsi",Baru,100.3558260,-,Kota Padang,Padang Barat,MS000088,6036,-.9552320,2500,5B96A24A-1D5B-4705-8691-9AD583930E1D,Museum Nagari PROVINSI  Sumatera Barat Adityawarman,PEMERINTAH PROVINSI,Sumatera Barat,,A,,PEMERINTAH DAERAH,1977,Umum
282,"Jl. Panorama No.22, Kayu Kubu, Guguh Panjang",Baru,100.3685020,-,Kota Bukittinggi,Guguk Panjang,MS000027,,-.3075330,,EEF8CA11-9087-47A0-8E92-37840CF619C0,Museum Perjuangan Tridaya Eka Dharma,TNI,Sumatera Barat,,C,,TNI,1973,Khusus
283,"Jl. Cindur Mato No. 1, Pasar Atas, Kompleks Kebun Binatang",Baru,100.3695490,-,Kota Bukittinggi,Guguk Panjang,MS000045,,-.3007150,2798,C107C183-5C2B-4A6C-BFF1-57F04CBC0F34,Museum Rumah Adat Baanjuang,PEMERINTAH KOTA,Sumatera Barat,,C,,PEMERINTAH DAERAH,2005,Khusus
284,"Jl. Soekarno - Hatta  No.37,  Aur Tanjungkang Tengah Sawah",Lama,100.3730910,-,Kota Bukittinggi,Guguk Panjang,MS000037,,-.3007850,1000,9A12B758-DFE9-4D9C-9324-45F39EFA5BA2,Museum Rumah Kelahiran Bung Hatta,PEMERINTAH KOTA,Sumatera Barat,,C,,PEMERINTAH DAERAH,1994,Umum
285,"Jl. M. Yamin, Pasar Remaja Sawahlunto",Lama,100.7774950,-,Kota Sawah Lunto,Lembah Segar,MS000115,179,-.6823370,,70C6C323-D685-4604-874A-CDB999468BFF,Museum Tambang Batu Bara Ombilin (Pusat Dokumentasi dan Arsip PT.BA-UPO) ,PEMERINTAH KABUPATEN,Sumatera Barat,,C,,PEMERINTAH DAERAH,2014,Khusus
286,Jl Trans Sumatera Bukittinggi-Padang Sidempuan,,100.2205280,-,Kab. Pasaman,Bonjol,MS000055,,.0013160,2500,731493F9-CE0F-4798-9701-6B4D9C9180D4,Museum Tuanku Imam Bonjol,PEMERINTAH KABUPATEN,Sumatera Barat,,-,,,1998,Umum
287,Taman Margasatwa dan Budaya Kinantan Jl. Cindur Mato No 10,Baru,100.3705090,-,Kota Bukittinggi,Guguk Panjang,MS000139,2000,-.3006890,,08869918-B390-4E3A-8414-ECE4A12E4823,Museum Zoologi (sumatera barat),PEMERINTAH KOTA,Sumatera Barat,,B,,PEMERINTAH DAERAH,,Khusus
288,Nagari Pandan Gadang,Lama,100.3845370,-,Kab. Lima Puluh Koto,Gunuang Omeh,MS000124,,-.0858420,,4262E17C-529A-43C7-AB3A-D780BDCA8CD7,Rumah Kelahiran Tan Malaka,PEMERINTAH DAERAH,Sumatera Barat,,-,,PEMERINTAH DAERAH,2008,Khusus
289,Jl Raya Padang Panjang Km 6,Baru,100.3770620,-,Kab. Tanah Datar,Sepuluh Koto,MS000011,8000,-.3228900,,16189452-5A06-4912-9E1B-1A88852A6062,Rumah Puisi Taufiq Ismail,swasta,Sumatera Barat,,-,,SWASTA,2008,Khusus
290,kawasan komplek perkantoran Batu Enam,,100.8244240,-,Kab. Rokan Hilir,Batu Hampar,MS000145,,2.1054830,,B04B3EC8-EA86-472C-93CE-FA7763D0EC5E,Museum Ikan Bagansiapiapi,PEMERINTAH KABUPATEN,Riau,,-,,PEMERINTAH DAERAH,,Khusus 
291,Jalan Sultan Syarif Kasim,Lama,102.0484320,-,Kab. Siak,Siak,MS000140,,.7966270,3500,BE9F223A-B091-4AA0-BFCE-EE6938BAD9F8,Museum Istana (Siak) Asserayah  El Hasyimiah,PEMERINTAH KABUPATEN,Riau,,-,,PEMERINTAH DAERAH,,Khusus
292,Desa Pulau Belimbing Kuok,Lama,100.9455140,-,Kab. Kampar,Bangkinang Kota,MS000131,250,.3251090,,B6CE770D-26C9-4566-A2E2-E689519D3892,Museum Kandil Kemilau Emas,PEMERINTAH KABUPATEN,Riau,,-,,PEMERINTAH DAERAH,1988,Umum
293,kawasan komplek perkantoran Batu Enam,,100.8215590,-,Kab. Rokan Hilir,Batu Hampar,MS000016,,2.1034380,,80D2D7BF-AE13-49E7-BBFB-24ACD367F084,Museum Muslim Bagansiapiapi,PEMERINTAH KABUPATEN,Riau,,-,,PEMERINTAH DAERAH,,Khusus 
294,Jl. Jend. Sudirman No.194,Baru,101.4552930,-,Kota Pekanbaru,Bukit Raya,MS000058,4298,.4949880,16930,7A1A35B3-41A3-4E8D-89E1-710CFBA28E20,Museum Negeri  PROVINSI  Riau Sang Nila Utama,PEMERINTAH PROVINSI,Riau,,B,,PEMERINTAH DAERAH,1994,Umum
295,Jl. Sudirman,,101.3865960,-,Kota Pekanbaru,Pekanbaru Kota,MS000106,,.5011080,,DDFF3339-35FE-4910-8D92-C31305A98583,Museum Perempuan,PEMERINTAH PROVINSI,Riau,,-,,PEMERINTAH DAERAH,,
296,kawasan komplek perkantoran Batu Enam,,100.8196400,-,Kab. Rokan Hilir,Batu Hampar,MS000143,,2.1013290,,80E0C2D2-D074-457C-9DEC-F75ABF979471,Museum Sejarah Rokan Hilir,PEMERINTAH KABUPATEN,Riau,,-,,PEMERINTAH DAERAH,,Umum
297,"Jl. Jenderal Sudirman, Daman, Bengkalis",Baru,102.1069760,-,Kab. Bengkalis,Bengkalis,MS000080,,1.4760470,,F948A0B5-DA0B-42F1-B657-921B977E0086,Museum Sultan Syarif Kasim ,PEMERINTAH KABUPATEN,Riau,,-,,PEMERINTAH DAERAH,1997,Khusus
298,kawasan komplek perkantoran Batu Enam,,100.8198000,-,Kab. Rokan Hilir,Batu Hampar,MS000075,,2.1026200,,DD035997-6CFA-4813-8F3C-890401457E8A,Museum Tionghoa Bagansiapiapi,PEMERINTAH KABUPATEN,Riau,,-,,PEMERINTAH DAERAH,,Khusus 
299,Komp Pesantren Wali Peetu Air Hitam Laut,,104.4334530,-,Kab. Tanjung Jabung Timur,Sadu,MS000043,,-1.3138820,,874BA8DE-3150-4DF8-A68D-54DA55B769B7,Museum Air Hitam Laut Tanjung Jabung Timur,swasta,Jambi,,-,,SWASTA,2004,
300,Jembatan Pedestrian Sungai Batang Hari,BAru,103.6142380,-,Kota Jambi,Danau Teluk,MS000093,,-1.5851170,,218B3D07-58BF-4946-90C3-9FFEC3B6B58D,Museum Gentala Arasy Kota Jambi,Dinas Kebudayaan dan Pariwisata Provinsi,Jambi,,-,,PEMERINTAH DAERAH,2014,Umum
301,Jl. Mayjen. Syamsuddin Uban No. 1,Lama,102.2715740,-,Kab. Merangin,Bangko,MS000014,,-2.0751220,,AD63017C-1737-4287-8F27-2246D72076E7,Museum Geopark Merangin,Dinas Kebudayaan dan Pariwisata Kab/Kota,Jambi,,-,,PEMERINTAH DAERAH,2015,Khusus
302,Jl. Urip Sumoharjo No.1,Baru,103.5923990,-,Kota Jambi,Telanai Pura,MS000138,,-1.6099090,,B4F61E82-378F-44C5-BD24-EBDDBE7B964F,Museum Negeri Siginjei PROVINSI Jambi ,PEMERINTAH PROVINSI,Jambi,,A,,PEMERINTAH DAERAH,1988,Umum
